,Unnamed: 0,team_name,team_score,first_qt,second_qt,third_qt,fourth_qt,ot
245,245,Saints,30,9,7,14,0,
246,246,Rams,51,7,20,21,3,
247,247,Giants,17,7,3,0,7,
248,248,Falcons,17,10,0,0,7,
249,249,Panthers,20,0,14,6,0,
250,250,Broncos,23,3,6,0,14,
251,251,Eagles,51,17,14,13,7,
252,252,Ravens,20,3,3,0,14,
253,253,Titans,23,10,6,0,7,
254,254,Cardinals,20,7,7,0,6,
255,255,49ers,10,0,3,7,0,
256,256,Redskins,17,0,7,3,7,
257,257,Seahawks,14,2,0,0,12,
258,258,Chiefs,17,0,10,7,0,
259,259,Cowboys,28,7,7,7,7,
260,260,Raiders,27,3,10,7,7,
261,261,Dolphins,24,0,9,7,8,
262,262,Lions,30,7,7,3,13,
263,263,Packers,17,0,3,0,14,
264,264,Seahawks,22,7,8,0,7,
265,265,Cardinals,16,0,7,3,6,
266,266,Packers,23,3,7,3,10,
267,267,Bears,16,3,3,0,10,
268,268,Browns,24,10,0,14,0,
269,269,Lions,38,3,14,7,14,
270,270,Steelers,20,0,3,6,11,
271,271,Colts,17,0,10,7,0,
272,272,Chargers,17,0,7,7,3,0.0
273,273,Jaguars,20,6,0,8,3,3.0
274,274,Saints,47,7,10,20,10,
275,275,Bills,10,3,0,0,7,
276,276,Jets,10,0,3,0,7,
277,277,Buccaneers,15,3,0,6,6,
278,278,Vikings,38,7,21,7,3,
279,279,Redskins,30,10,7,3,10,
280,280,Bengals,20,6,7,0,7,
281,281,Titans,24,7,10,0,7,
282,282,Texans,7,0,7,0,0,
283,283,Rams,33,3,6,21,3,
284,284,Cowboys,7,7,0,0,0,
285,285,Falcons,27,3,7,7,10,
286,286,Giants,21,6,7,0,8,
287,287,49ers,31,3,14,0,14,
288,288,Patriots,41,14,13,7,7,
289,289,Broncos,16,6,3,7,0,
290,290,Dolphins,21,0,7,7,7,
291,291,Panthers,45,3,14,21,7,
